,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
505,2/11/20,Indonesia,,,,Indonesia,TEMPO,Thailand is successfully curing coronavirus patients with marijuana.,Website,https://perma.cc/ST4L-E9XS,https://bit.ly/3bt60ey,Bahasa Indonesia,FALSE,Antiflu and anti-HIV drugs used by doctors in Thailand to treat patients with the coronavirus do not contain cannabis.,cures,['Indonesia'],perma.cc,https://web.facebook.com/groups/255300961321255/permalink/1585706711614000/?_rdc=1&_rdr,facebook.com,2/11/20,"['thailand', 'successfully', 'curing', 'coronavirus', 'patients', 'marijuana']"
5754,3/11/20,Czech Republic,,,,Czech Republic,AFP,Marijuana is a cure for the coronavirus.,Facebook,https://perma.cc/6XKU-TQJZ,https://fakty.afp.com/marihuana-nie-je-liekom-proti-koronavirusu,Czech,FALSE,This statement is untrue because there is no evidence of positive effects of marijuana against the new coronavirus and the claim comes from a translated version of a satirical article originally published in Spanish.,,['Czech Republic'],perma.cc,https://legalizuj.to/12526/vedci-nasli-v-marihuane-moznu-liecbu-koronavirusu/,legalizuj.to,3/11/20,"['marijuana', 'cure', 'coronavirus']"
412,2/5/20,Philippines,,,,Philippines,Rappler,"Weed, slang for the cannabis plant, can ""kill coronavirus.""",Facebook,Unavaliable,https://www.rappler.com/newsbreak/fact-check/252096-cannabis-kills-coronavirus,English,FALSE,"As of 2/18/20, the WHO said ""there is still no specific medicine recommended to prevent or treat"" the novel coronavirus.",cures,['Philippines'],N/A,Unavaliable,N/A,2/5/20,"['weed', 'slang', 'cannabis', 'plant', 'kill', 'coronavirus']"
447,2/7/20,India,,,,India,The Quint,Weed (cannabis) cures coronavirus.,Twitter,https://twitter.com/vivekagnihotri/status/1226009698635116544,https://fit.thequint.com/fit-webqoof/fit-webqoof-could-weed-kill-the-novel-coronavirus,English,misleading,The claim is misleading. ,cures,['India'],twitter.com,https://twitter.com/vivekagnihotri/status/1226009698635116544,twitter.com,2/7/20,"['weed', 'cannabis', 'cures', 'coronavirus']"
657,2/20/20,Sri Lanka,,,,Sri Lanka,AFP,Cannabis boosts immunity against COVID-19,YouTube,https://perma.cc/Y6AP-AZDY,https://factcheck.afp.com/sri-lankan-health-experts-stress-there-no-evidence-cannabis-boosts-immunity-against-novel,English,misleading,There is no evidence to suggest that cannabis improves immunity against the virus.,cures,['Sri Lanka'],perma.cc,https://www.youtube.com/watch?v=qy11zT1WVPI&fbclid=IwAR0ew7loWEr5cYq2UeLWK678rP8CFzeMhvrGDXKN79q_stUdjm_yyfP7brQ,youtube.com,2/20/20,"['cannabis', 'boosts', 'immunity', 'covid']"
3712,4/7/20,Kenya,,,,Kenya,PesaCheck,Smoking cannabis can prevent COVID-19.,Facebook video,https://www.facebook.com/groups/groupkenya/permalink/3734985713262963/?sfnsn=mo&d=n&vh=i&_rdc=2&_rdr,https://pesacheck.org/false-there-is-no-evidence-that-smoking-cannabis-can-prevent-covid-19-9f0663e35c3a,English,FALSE,"The WHO recommends five main protective measures against the disease, and smoking cannabis actually puts individuals at more risk, not less. According to the video, non-smokers are more vulnerable to COVID-19 than regular smokers of cannabis, and the abundance of the drug in Jamaica is apparently the reason why there have been no confirmed cases of COVID-19 in the country.",,['Kenya'],facebook.com,https://www.facebook.com/groups/groupkenya/permalink/3734985713262963/?sfnsn=mo&d=n&vh=i&_rdc=2&_rdr,facebook.com,4/7/20,"['smoking', 'cannabis', 'prevent', 'covid']"
6028,5/14/20,United States,,,,United States,PolitiFact,"“Cannabis may stop coronavirus from infecting people, study finds.”",Facebook posts,https://archive.fo/rcAfM,https://www.politifact.com/factchecks/2020/may/18/facebook-posts/fact-checking-whether-cannabis-may-prevent-covid-1/,English,mostly false,"Cannabis extracts could be part of a treatment that helps prevent coronavirus — according to a preliminary study. The study has not been peer reviewed and it’s based only on lab testing. The lead researcher said more study, including testing on humans, must be done before any conclusions can be drawn.",cures,['United States'],archive.fo,https://merryjane.com/news/cannabis-may-stop-coronavirus-from-infecting-people-study-finds,merryjane.com,5/14/20,"['cannabis', 'stop', 'coronavirus', 'infecting', 'people', 'study', 'finds']"
6414,5/22/20,Italy,,,,Italy,Open,Cannabis could help prevent coronavirus infection.,Media,Unavaliable,https://www.open.online/2020/05/22/coronavirus-cannabis-infezione-non-dimostrato/,Italian,misleading,"This is not a study that passed the peer review, it was conducted on artificial human tissues and not on real organisms. It is a classic preliminary research that may even fail. The authors themselves speak of the need for further studies and research.",cures,['Italy'],N/A,Unavaliable,N/A,5/22/20,"['cannabis', 'help', 'prevent', 'coronavirus', 'infection']"
6426,5/26/20,Myanmar,,,,Myanmar,FactCrescendo,Cannabis can cure COVID-19.,Facebook,https://archive.vn/iSSeh,https://myanmar.factcrescendo.com/fact-check-did-cannabis-can-cure-covid-19/,Burmese,FALSE,There are no conclusive studies yet on the effect of cannabis on COVID-19 treatment. WHO has iterated that there is no evidence of a single medicine to treat COVID-19 currently.,cures,['Myanmar'],archive.vn,https://www.facebook.com/officialnetguidejournal/posts/3005391489548657?__xts__[0]=68.ARBLm4OvpNUUqANjFKGSyDpB1exOO7VG-uzzzKSPV1OELthrVjrapbBsCsQ6H2OFLd2Tjmkx4mz3OZnUPU_L4ya3CTX2TPTuymJ6vQWvDsOHdrjwLpJUjVbebWE7YapzfsS-qIdRF5_PyeGSXxSCThKQP43O_lpu00lbnAfdXETN-PMP_jRYjNfmOxGMX9vnOKcipIpOkMWSFljGuB76k2awFWccTo562xaZZRrtNdciJMqv8qR6k_8_227RUs_w4R6Cd9JgoWOz9r1iylbs5hWZ-YlViS-OwAj1NqNfj1B-MFWcN1iJH44hY-nscg-gam0IMxv-Nuc3wZdKqcKwSQhhYw&_rdc=1&_rdr,facebook.com,5/26/20,"['cannabis', 'cure', 'covid']"
7518,6/22/20,United States,,,,United States,Science Feedback,A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.,"Tristan Greene, The Next Web",https://archive.fo/kQGxa,https://healthfeedback.org/claimreview/no-scientific-evidence-indicates-that-cannabis-can-prevent-or-cure-covid-19-in-patients-the-next-web/,English,no evidence,"The World Health Organization recognizes some therapeutic uses of cannabinoids. A recent scientific preprint reported that some cannabis strains might modulate the expression of ACE2, the viral receptor for SARS-CoV-2, in an in vitro study. However, the study does not present data on clinical outcomes in animals or humans (in vivo) during infection, nor does it test whether the cannabis extracts affect the infectivity of SARS-CoV-2. It is thus impossible to know whether these specific cannabis strains could prevent or cure COVID-19 in people. The study also did not compare the effect of cannabis extracts with that of hydroxychloroquine on COVID-19, so it does not provide any evidence for the claim that cannabis works better than hydroxychloroquine.",cures,['United States'],archive.fo,https://thenextweb.com/corona/2020/05/22/cannabis-is-more-effective-at-preventing-and-treating-covid-19-than-hydroxychloroquine/?fbclid=IwAR1o6kCoSM3O10aUhC8MlWBT5K5tgbVT6BHPC_wrbb0W5zmwVyqDCQgTNVI,thenextweb.com,6/22/20,"['scientific', 'study', 'shows', 'cannabis', 'effective', 'preventing', 'treating', 'covid', 'hydroxychloroquine']"
