,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1690,3/17/2020,North Macedonia,Greece,Serbia,Bosnia and Herzegovina,"North Macedonia, Greece, Serbia, Bosnia and Herzegovina",Vistinomer,"If you are infected with the new coronavirus, for high fever you should not take Ibuprofen (Brufen) or Paracetamol. Adults should drink a strong black coffee every few hours. ",Telegram,Unavaliable,https://vistinomer.mk/dezinformaciite-za-kovid-19-se-shirat-pobrzo-od-samiot-virus/,Macedonian,false,"There are no clinical trials or practice data that would suggest that brufen should not be taken with COVID-19 infection. The specialist pneumophysiologist and family medicine doctor, Dobrinka Granzov-Kozlina debunked the fake news about drinking coffee against coronavirus.",cures,"['North Macedonia', 'Greece', 'Serbia', 'Bosnia and Herzegovina']",N/A,Unavaliable,N/A,2020-03-17,"['infected', 'new', 'coronavirus', 'high', 'fever', 'ibuprofen', 'brufen', 'paracetamol', 'adults', 'drink', 'strong', 'black', 'coffee', 'hours']"
2510,3/25/2020,Portugal,,,,Portugal,Observador,A message in an image claims that drinking coffee can help prevent the new coronavirus.,Facebook,https://www.facebook.com/photo.php?fbid=3254196504626134&set=a.446924785353334&type=3&theater,https://observador.pt/factchecks/fact-check-o-cafe-pode-ajudar-a-prevenir-o-novo-coronavirus/,Portuguese,false,There is no scientific evidence to support this theory. Health authorities have never made this connection.,cures,['Portugal'],facebook.com,https://www.facebook.com/photo.php?fbid=3254196504626134&set=a.446924785353334&type=3&theater,facebook.com,2020-03-25,"['message', 'image', 'claims', 'drinking', 'coffee', 'help', 'prevent', 'new', 'coronavirus']"
2710,3/27/2020,Canada,,,,Canada,AFP,"Two articles claiming that iconic coffee chain Tim Hortons will close all Canada franchises on 3/30/20 because of the novel coronavirus were shared more than 150,000 times on Facebook.",Facebook,https://perma.cc/9T79-66NK,https://factcheck.afp.com/articles-spread-tim-hortons-closure-hoax-canada,English,false,"This claim is false. Though locations are closed to dining-in, drive-throughs remain open, a spokeswoman for the chain told AFP.",cures,['Canada'],perma.cc,https://canada-eh.info/tim-hortons-canada-just-closed-all-restaurants-drive-thru-and-delivery/?fbclid=IwAR3X8ch5h_Doy4ZNs1i1Of7FBPq-axPhbMF2Yi9BGXI7J_M-nQH5n8wwlVQ,canada-eh.info,2020-03-27,"['articles', 'claiming', 'iconic', 'coffee', 'chain', 'tim', 'hortons', 'close', 'canada', 'franchises', 'novel', 'coronavirus', 'shared', '150', '000', 'times', 'facebook']"
2941,3/30/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,Dr. Li Wenliang discovered coffee can cure coronavirus.,WhatsApp,Unavaliable,https://efectococuyo.com/cocuyo-chequea/wenliang-cafe/,Spanish,false,Dr. Wenliang didn´t treat patients with COVID-19 and there is no evidence of benefits of coffee or the contrary.,cures,['Venezuela'],N/A,Unavaliable,N/A,2020-03-30,"['wenliang', 'discovered', 'coffee', 'cure', 'coronavirus']"
3128,4/1/2020,Mexico,,,,Mexico,Animal Político,Coffee prevents coronavirus.,Facebook,https://www.facebook.com/en100detuvida/photos/a.116118496700558/117014879944253/?type=3&theater,https://animal.mx/2020/04/cafe-te-previene-coronavirus-falso/,Spanish,false,Coffee does not prevent coronavirus. There are no specific treatments for COVID-19 as of now.,cures,['Mexico'],facebook.com,https://www.facebook.com/en100detuvida/photos/a.116118496700558/117014879944253/?type=3&theater,facebook.com,2020-04-01,"['coffee', 'prevents', 'coronavirus']"
3273,4/2/2020,Spain,China,,,"Spain, China",Maldita.es,A Whatsapp message allegedly from a Chinese doctor and CNN that says coffee can prevent coronavirus,WhatsApp,Unavaliable,https://maldita.es/malditobulo/2020/04/03/dr-li-wenliang-cnn-cafe-coronavirus/,Spanish,false,"It is false that before dying, Dr. Li Wenliang would have recommended drinking coffee to prevent the spread of the coronavirus and that this recommendation would have been broadcast by CNN. There is no evidence that coffee prevents the coronavirus or that the television network has echoed this.",cures,"['Spain', 'China']",N/A,Unavaliable,N/A,2020-04-02,"['whatsapp', 'message', 'allegedly', 'chinese', 'doctor', 'cnn', 'says', 'coffee', 'prevent', 'coronavirus']"
3369,4/3/2020,Colombia,,,,Colombia,La Silla Vacía,Coffee cures coronavirus.,"Facebook, WhatsApp",https://elcatiree.blogspot.com/2020/03/la-cura-para-el-coronavirus-el-cafe.html?fbclid=IwAR2r7UAZ_7YiJqsWElqksT7XZvpMZ_72j6KHx15L7QmJWzHnMxIklkD-uYE,https://lasillavacia.com/detector-no-cafe-no-cura-covid-19-76102,Spanish,false,There is not scientific evidence to prove that coffee cures coronavirus.,cures,['Colombia'],blogspot.com,https://elcatiree.blogspot.com/2020/03/la-cura-para-el-coronavirus-el-cafe.html?fbclid=IwAR2r7UAZ_7YiJqsWElqksT7XZvpMZ_72j6KHx15L7QmJWzHnMxIklkD-uYE,blogspot.com,2020-04-03,"['coffee', 'cures', 'coronavirus']"
3410,4/3/2020,Costa Rica,,,,Costa Rica,La Nación,Drinking three cups of tea or coffee a day does cures COVID-19.,"Facebook, WhatsApp",Unavaliable,https://www.nacion.com/no-coma-cuento/nocomacuento-tomar-tres-tazas-de-te-o-cafe-al/JZ5HEXCAX5GUVAYICJWG2OE2VY/story/,Spanish,false,"According to pediatric infectologist and former Health Minister María Luisa Ávila, none of the chemicals that make up coffee or tea have been used to treat the new coronavirus.",cures,['Costa Rica'],N/A,Unavaliable,N/A,2020-04-03,"['drinking', 'cups', 'tea', 'coffee', 'day', 'cures', 'covid']"
3760,4/8/2020,Argentina,,,,Argentina,Chequeado,Drinking coffee “decreases the voracity” of the coronavirus,Facebook,Unavaliable,https://chequeado.com/el-explicador/si-el-frente-de-todos-propuso-crear-un-impuesto-patria-en-un-proyecto-legislativo-que-luego-retiro/,Spanish,false,"So far there is no evidence that any food, drink or diet works to prevent or cure the disease that causes the coronavirus.",prevention,['Argentina'],N/A,Unavaliable,N/A,2020-04-08,"['drinking', 'coffee', 'decreases', 'voracity', 'coronavirus']"
3775,4/8/2020,Argentina,United States,Spain,Brazil,"Argentina, United States, Spain, Brazil",Chequeado,"Drinking coffee ""decreases the voracity"" of the coronavirus.",Facebook,https://drive.google.com/open?id=1lSL3YVTBitLArqME0wUlWxPLr_flCx4-,https://chequeado.com/verificacionfb/es-falso-que-tomar-cafe-disminuye-la-voracidad-del-coronavirus/,Spanish,false,"So far there is no evidence that any food, drink or diet works to prevent or cure the disease that causes the coronavirus.",cures,"['Argentina', 'United States', 'Spain', 'Brazil']",google.com,https://drive.google.com/open?id=1lSL3YVTBitLArqME0wUlWxPLr_flCx4-,google.com,2020-04-08,"['drinking', 'coffee', 'decreases', 'voracity', 'coronavirus']"
