,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
4745,4/25/2020,United States,,,,United States,Science Feedback,"Elisa Granato, the first volunteer in the first Europe human trial of a COVID-19 vaccine, has died.","James Alami, News NT",http://archive.vn/vpfUA,https://healthfeedback.org/claimreview/volunteer-for-u-k-covid-19-vaccine-trial-elisa-granato-is-alive-contrary-to-claim-in-viral-article/,English,false,"The first volunteer for a U.K. COVID-19 vaccine trial Elisa Granato is not dead. This false claim has been widely spread by anti-vaccine groups, likely in an attempt to promote doubts about vaccine safety.",other,['United States'],archive.vn,https://n5ti.com/stories/1275/,n5ti.com,2020-04-25,"['elisa', 'granato', 'volunteer', 'europe', 'human', 'trial', 'covid', 'vaccine', 'died']"
4765,4/26/2020,Italy,,,,Italy,Open,First volunteer in UK coronavirus vaccine trial Elisa Granato has died.,Site,https://n5ti.com/stories/1275/,https://www.open.online/2020/04/26/coronavirus-e-morta-elena-granato-la-prima-volontaria-per-il-vaccino-no-la-bufala-diffusa-dal-sito-macedone/,Italian,false,Elisa Granato is alive and denied the false informatio via Twitter.,cures,['Italy'],n5ti.com,https://n5ti.com/stories/1275/,n5ti.com,2020-04-26,"['volunteer', 'coronavirus', 'vaccine', 'trial', 'elisa', 'granato', 'died']"
4778,4/26/2020,India,,,,India,Factly,"Elisa Granato (32-year-old), the first woman to get vaccine for COVID-19, died. ",Social Media,https://archive.fo/JLnpM,https://factly.in/telugu-tv9-scrolls-fake-news-that-uks-corona-vaccine-trial-volunteer-elisa-granato-has-died/,Telugu,false,"Elisa Granato (32-year-old), the first woman to get vaccine for COVID-19 has not died. A BBC journalist tweeted saying that Elisa Granato is alive and healthy. Furthermore, in his tweet he has also included the video of Elisa Granato saying that she is alive.",cures,['India'],archive.fo,https://www.facebook.com/venkataramana.venkataramana.92102564/posts/694406297973558,facebook.com,2020-04-26,"['elisa', 'granato', 'year', 'old', 'woman', 'vaccine', 'covid', 'died']"
5048,4/26/2020,United Kingdom,,,,United Kingdom,Full Fact,"Dr Elisa Granato, one of the first participants in a UK COVID-19 vaccine trial, has died.",News media,https://web.archive.org/web/20200426082152/https://n5ti.com/stories/1275/,https://fullfact.org/online/elisa-granato-fake/,English,false,This is false. She is not dead.,other,['United Kingdom'],archive.org,https://n5ti.com/stories/1275/,n5ti.com,2020-04-26,"['elisa', 'granato', 'participants', 'covid', 'vaccine', 'trial', 'died']"
4815,4/27/2020,Sri Lanka,,,,Sri Lanka,FactCrescendo,"Dr. Elisa Granato, the first volunteer for vaccine trials in UK, has died.",Facebook/Twitter,http://archive.is/wip/xGD9r,https://srilanka.factcrescendo.com/english/fact-check-fake-article-about-dr-elisa-granatos-death/,English,false,Dr Elisa Granato is alive and well confirmed by a video conversation with a UK journalist. Dr Elisa Granato had also tweeted from her personal account refuting the false claims.,other,['Sri Lanka'],archive.is,https://www.facebook.com/shiranthi.perera.92/posts/1580390755441866,facebook.com,2020-04-27,"['elisa', 'granato', 'volunteer', 'vaccine', 'trials', 'died']"
4824,4/27/2020,India,,,,India,FactCrescendo,"First volunteer for COVID-19 Vaccine in UK, Dr. Elisa Granato, is dead.",Facebook/Twitter/WhatsApp,https://web.archive.org/web/20200426022149/https:/n5ti.com/stories/1275/,https://english.factcrescendo.com/2020/04/27/the-first-volunteer-of-uk-coronavirus-vaccine-trial-is-alive/,English,false,Dr. Elisa Granato is alive and healthy and gave interviews to debunk the rumor.,other,['India'],archive.org,https:/n5ti.com/stories/1275/,N/A,2020-04-27,"['volunteer', 'covid', 'vaccine', 'elisa', 'granato', 'dead']"
5821,4/29/2020,United States,,,,United States,Check Your Fact,"Dr. Elisa Granato, one of the first volunteers to receive a potential COVID-19 vaccine in the U.K., has died.",Facebook,https://checkyourfact.com/2020/04/29/fact-check-elisa-granato-volunteer-coronavirus-vacccine-trial-died/,https://checkyourfact.com/2020/04/29/fact-check-elisa-granato-volunteer-coronavirus-vacccine-trial-died/,English,false,"Granato has not died. The U.K. Department of Health and Social Care debunked the claim on Twitter, and so did Granato.",cures,['United States'],checkyourfact.com,https://www.facebook.com/149593259009793/posts/576352759667172,facebook.com,2020-04-29,"['elisa', 'granato', 'volunteers', 'receive', 'potential', 'covid', 'vaccine', 'died']"
5094,4/25/2020,United States,,,,United States,PolitiFact,“First volunteer in UK coronavirus vaccine trial has died.”,Bloggers,https://www.facebook.com/photo.php?fbid=1162712617456586&set=a.102199276841264&type=3&theater,https://www.politifact.com/factchecks/2020/may/05/blog-posting/no-first-volunteer-uk-covid-19-vaccine-trial-hasnt/,English,false,"Elisa Granato, the first volunteer to be injected in a COVID-19 vaccine trial in Europe, is “100% alive.”",cures,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=1162712617456586&set=a.102199276841264&type=3&theater,facebook.com,2020-04-25,"['volunteer', 'coronavirus', 'vaccine', 'trial', 'died']"
4765,4/26/2020,Italy,,,,Italy,Open,First volunteer in UK coronavirus vaccine trial Elisa Granato has died.,Site,https://n5ti.com/stories/1275/,https://www.open.online/2020/04/26/coronavirus-e-morta-elena-granato-la-prima-volontaria-per-il-vaccino-no-la-bufala-diffusa-dal-sito-macedone/,Italian,false,Elisa Granato is alive and denied the false informatio via Twitter.,cures,['Italy'],n5ti.com,https://n5ti.com/stories/1275/,n5ti.com,2020-04-26,"['volunteer', 'coronavirus', 'vaccine', 'trial', 'elisa', 'granato', 'died']"
4870,4/29/2020,Kenya,United Kingdom,,,"Kenya, United Kingdom",PesaCheck,One of the first recipients of a trial COVID-19 vaccine died.,Facebook,http://archive.vn/2M4WG,https://pesacheck.org/false-reports-that-the-first-covid-19-trial-vaccine-recipient-has-died-are-untrue-1589be56a0dc,English,false,"The first recipient, Dr Elisa Granato, was interviewed by the BBC after reports of her death first emerged. She said she is doing fine. ",conspiracy theory,"['Kenya', 'United Kingdom']",archive.vn,https://www.facebook.com/CountryBlogger/photos/a.212054706336895/518619339013762/?type=3&theater&_rdc=1&_rdr,facebook.com,2020-04-29,"['recipients', 'trial', 'covid', 'vaccine', 'died']"
