,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1222,3/11/2020,United States,,,,United States,LeadStories,Gargling salt water and vinegar will kill the virus.,Facebook,https://www.facebook.com/DebraMessing/photos/a.398197600282054/2361804240588037/?type=3,https://hoax-alert.leadstories.com/3471891-fact-check-memes-with-advice-for-preventing-coronavirus-are-not-accurate.html,English,false,"Pulmonologist debunked the memes, and CDC offers real advice about how to say safe.",cures,['United States'],facebook.com,https://www.facebook.com/DebraMessing/photos/a.398197600282054/2361804240588037/?type=3,facebook.com,2020-03-11,"['gargling', 'salt', 'water', 'vinegar', 'kill', 'virus']"
1299,3/12/2020,Brazil,,,,Brazil,Agência Lupa,"Warm drinks kill the coronavirus, the virus dies when the ambient temperature is higher than 26ºC, gargling warm water helps treating the disease and the virus stays on your hands for 10 minutes.","WhatsApp, Facebook",https://www.facebook.com/photo.php?fbid=10212851693086420&set=a.1660213404495&type=3&theater,https://piaui.folha.uol.com.br/lupa/2020/03/12/verificamos-informacoes-falsas-caracteristicas-novo-coronavirus/,Portuguese,false,None of these claims have scientific support.,cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=10212851693086420&set=a.1660213404495&type=3&theater,facebook.com,2020-03-12,"['warm', 'drinks', 'kill', 'coronavirus', 'virus', 'dies', 'ambient', 'temperature', 'higher', '26ºc', 'gargling', 'warm', 'water', 'helps', 'treating', 'disease', 'virus', 'stays', 'hands', 'minutes']"
1389,3/13/2020,United States,,,,United States,PolitiFact,Drinking “water a lot and gargling with warm water and salt or vinegar eliminates” the coronavirus.,Facebook,https://www.facebook.com/photo.php?fbid=2793519207369704&set=ecnf.100001349575372&type=3&theater,https://www.politifact.com/factchecks/2020/mar/16/viral-image/gargling-salt-water-can-ease-sore-throat-it-wont-k/,English,false,These claims have not been proven scientifically.,cures,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=2793519207369704&set=ecnf.100001349575372&type=3&theater,facebook.com,2020-03-13,"['drinking', 'water', 'lot', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
1409,3/14/2020,Nigeria,,,,Nigeria,Dubawa,Drinking lots of water and gargling with warm water and salt or vinegar eliminates the coronavirus.,Facebook,https://www.facebook.com/photo.php?fbid=207938813863966&set=a.103891650935350&type=3&theater,https://dubawa.org/is-saline-solution-effective-against-covid-19/,English,false,"The claim has not been confirmed by any health institution. The WHO says there is currently no specific treatment, drug or vaccine for COVID-19, although some home remedies may provide comfort and alleviate symptoms.",cures,['Nigeria'],facebook.com,https://www.facebook.com/photo.php?fbid=207938813863966&set=a.103891650935350&type=3&theater,facebook.com,2020-03-14,"['drinking', 'lots', 'water', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
1410,3/14/2020,Australia,Spain,,,"Australia, Spain",AFP,A graphic claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus.,Facebook,https://perma.cc/E8C4-2UY7,https://factcheck.afp.com/gargling-warm-salt-water-or-vinegar-does-not-prevent-coronavirus-infection-health-experts-say,English,false,The claim is false. International health authorities and experts do not list gargling as an effective remedy or prevention method for COVID-19.,cures,"['Australia', 'Spain']",perma.cc,https://www.facebook.com/OMG.lifestyle.now/photos/a.105659204199091/190194065745604/?type=3&theater,facebook.com,2020-03-14,"['graphic', 'claims', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminate', 'novel', 'coronavirus']"
1411,3/14/2020,Spain,Australia,,,"Spain, Australia",AFP,Gargling warm salt water or vinegar prevents coronavirus infection.,Facebook,https://perma.cc/E8C4-2UY7,https://factcheck.afp.com/gargling-warm-salt-water-or-vinegar-does-not-prevent-coronavirus-infection-health-experts-say?check=1,English,false,The claim is false. International health authorities and experts do not list gargling as an effective remedy or prevention method for COVID-19.,cures,"['Spain', 'Australia']",perma.cc,https://www.facebook.com/OMG.lifestyle.now/photos/a.105659204199091/190194065745604/?type=3&theater,facebook.com,2020-03-14,"['gargling', 'warm', 'salt', 'water', 'vinegar', 'prevents', 'coronavirus', 'infection']"
1441,3/14/2020,Philippines,,,,Philippines,Rappler,Gargling salt with water “eliminates” the 2019 novel coronavirus.,Facebook,Unavaliable,https://www.rappler.com/newsbreak/fact-check/254504-gargling-salt-water-eliminates-coronavirus,English,false,Local and international health authorities have said there is no proof that gargling water with salt eliminates the novel coronavirus. There is no known cure.,cures,['Philippines'],N/A,Unavaliable,N/A,2020-03-14,"['gargling', 'salt', 'water', 'eliminates', '2019', 'novel', 'coronavirus']"
1459,3/15/2020,Colombia,,,,Colombia,Colombiacheck,Gargling with hot water and salt can prevent COVID-19.,WhatsApp,Unavaliable,https://colombiacheck.com/chequeos/hacer-gargaras-con-agua-y-sal-no-elimina-el-coronavirus-covid-19,Spanish,false,There is no scientific basis for this claim.,cures,['Colombia'],N/A,Unavaliable,N/A,2020-03-15,"['gargling', 'hot', 'water', 'salt', 'prevent', 'covid']"
1524,3/16/2020,Brazil,,,,Brazil,Aos Fatos,Drinking water and gargling with salt or vinegar eliminates the novel coronavirus.,Facebook,https://web.archive.org/save/https://www.facebook.com/251977505424880/photos/a.352074988748464/550455325577095/?type=3&theater,https://aosfatos.org/noticias/beber-agua-e-fazer-gargarejos-com-sal-ou-vinagre-nao-impedem-infeccao-por-coronavirus/,Portuguese,false,"According to the Brazilian Ministry of Health and experts consulted by Aos Fatos, this information is false and may worsen the patient's condition. Information on social media omits that there is still no drug or treatment to cure COVID-19.",cures,['Brazil'],archive.org,https://www.facebook.com/251977505424880/photos/a.352074988748464/550455325577095/?type=3&theater,facebook.com,2020-03-16,"['drinking', 'water', 'gargling', 'salt', 'vinegar', 'eliminates', 'novel', 'coronavirus']"
1541,3/16/2020,France,,,,France,AFP,Coronavirus stays in the throat 4 days before reaching the lungs and gargling lukewarm water with vinegar and salt can kill it.,Facebook,https://perma.cc/7RT8-WHCF,https://factuel.afp.com/non-des-gargarismes-deau-tiede-melangee-du-sel-ou-du-vinaigre-ne-soigne-pas-le-coronavirus,French,false,"Water temperature, salt and vinegar have no impact on the coronavirus, according to experts interviewed by the AFP and recommendations from WHO and health authorities in several countries.",cures,['France'],perma.cc,https://www.facebook.com/groups/zedouprod/permalink/2911477315640498/,facebook.com,2020-03-16,"['coronavirus', 'stays', 'throat', 'days', 'reaching', 'lungs', 'gargling', 'lukewarm', 'water', 'vinegar', 'salt', 'kill']"
1575,3/16/2020,Lithuania,,,,Lithuania,15min.lt,Gargling warm water with salt and/or vinegar kills SARS-CoV-2.,Facebook,Unavaliable,https://www.15min.lt/naujiena/aktualu/lietuva/ne-actas-ir-druskas-nuo-covid-19-negelbsti-56-1289514,Lithuanian,false,There is no proof that salt and/or vinegar can kill the coronavirus.,cures,['Lithuania'],N/A,Unavaliable,N/A,2020-03-16,"['gargling', 'warm', 'water', 'salt', 'vinegar', 'kills', 'sars', 'cov']"
1584,3/16/2020,United States,,,,United States,FactCheck.org,Gargling water with salt or vinegar “eliminates” the coronavirus.,"Facebook, Instagram",https://www.facebook.com/photo.php?fbid=10221926406369223&set=a.1803482366772&type=3&theater,https://www.factcheck.org/2020/03/gargling-water-with-salt-wont-eliminate-coronavirus/,English,false,"There is no known treatment for the new coronavirus,according to the WHO.",cures,['United States'],facebook.com,https://www.facebook.com/photo.php?fbid=10221926406369223&set=a.1803482366772&type=3&theater,facebook.com,2020-03-16,"['gargling', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
1623,3/17/2020,Argentina,,,,Argentina,Chequeado,Gargling with warm water and salt removes the coronavirus.,"Facebook, WhatsApp",https://chequeado.com/wp-content/uploads/2020/03/falso-gargaras-coronavirus-1280x549.jpg,https://chequeado.com/el-explicador/es-falso-que-hacer-gargaras-con-agua-tibia-y-sal-elimina-el-virus/,Spanish,false,"The WHO says there is no evidence that rinsing your mouth with saline ""provides protection against this disease.""",cures,['Argentina'],chequeado.com,https://chequeado.com/wp-content/uploads/2020/03/falso-gargaras-coronavirus-1280x549.jpg,chequeado.com,2020-03-17,"['gargling', 'warm', 'water', 'salt', 'removes', 'coronavirus']"
1647,3/17/2020,India,,,,India,Factly,Gargling with lukewarm water mixed with salt/vinegar will remove coronavirus.,Facebook,http://archive.ph/gO1Jp,https://factly.in/telugu-gargling-with-lukewarm-water-and-salt-or-vinegar-will-note-remove-coronavirus/,Telugu,false,Press Information Bureau (India) has clarified that coronavirus cannot be treated by gargling with warm water mixed with salt and vinegar.,cures,['India'],archive.ph,https://www.facebook.com/groups/1761410847507240/permalink/2471197789861872/,facebook.com,2020-03-17,"['gargling', 'lukewarm', 'water', 'mixed', 'salt', 'vinegar', 'remove', 'coronavirus']"
1704,3/17/2020,India,,,,India,India Today,Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar.,Facebook,https://www.facebook.com/photo.php?fbid=10157165528867475&set=a.10151505928567475&type=3&theater,https://www.indiatoday.in/fact-check/story/fact-check-no-gargling-with-warm-salt-water-can-t-save-you-from-coronavirus-1656600-2020-03-17,English,mostly false,There is no evidence to support the claim.,cures,['India'],facebook.com,https://www.facebook.com/photo.php?fbid=10157165528867475&set=a.10151505928567475&type=3&theater,facebook.com,2020-03-17,"['novel', 'coronavirus', 'eliminated', 'drinking', 'lots', 'water', 'gargling', 'warm', 'water', 'mixed', 'salt', 'vinegar']"
1916,3/19/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,Coronavirus stays in throat for four days before arriving lungs. Gargling with salt water or vinegar kills the coronavirus.,Facebook,https://www.facebook.com/permalink.php?story_fbid=2136488616497913&id=100004103865490,https://tfc-taiwan.org.tw/articles/3207,Chinese (traditional),false,There is no evidence that rinsing your mouth with salty water or vinegar can prevent COVID-19.,cures,['Taiwan'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=2136488616497913&id=100004103865490,facebook.com,2020-03-19,"['coronavirus', 'stays', 'throat', 'days', 'arriving', 'lungs', 'gargling', 'salt', 'water', 'vinegar', 'kills', 'coronavirus']"
