,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1990,3/20/2020,United States,,,,United States,LeadStories,"There's definitive proof that chloroquine, hydroxychloroquine, are effective against COVID-19.",Media,https://www.youtube.com/watch?v=tcHeVqoLVWI&feature=youtu.be,https://hoax-alert.leadstories.com/3472022-Fact-Check-NO-Definitive-Proof-Chloroquine-Hydroxychloroquine-Effective-Against-COVID19.html,English,misleading,"Studies have shown some early promise, but it's not entirely solid to say the treatments work against coronavirus.",cures,['United States'],youtube.com,https://www.youtube.com/watch?v=tcHeVqoLVWI&feature=youtu.be,youtube.com,2020-03-20,"['definitive', 'proof', 'chloroquine', 'hydroxychloroquine', 'effective', 'covid']"
2054,3/20/2020,Philippines,,,,Philippines,Rappler,"U.S. President Donald Trump said in a White House briefing on 3/20/20 that chloroquine and hydroxychloroquine, which are often used to treat malaria, have been approved by the Food and Drug Administration (FDA) for treatment of COVID-19.",US President Donald Trump,Unavaliable,https://www.rappler.com/newsbreak/fact-check/255701-us-fda-approves-hydroxychloroquine-covid-19-treatment,English,partly false,"Chloroquine or hydroxychloroquine is FDA-approved for treating malaria, lupus and rheumatoid arthritis, but not COVID-19. There is no official cure for the disease as of 3/25/20.",cures,['Philippines'],N/A,Unavaliable,N/A,2020-03-20,"['president', 'donald', 'trump', 'said', 'white', 'house', 'briefing', 'chloroquine', 'hydroxychloroquine', 'treat', 'malaria', 'approved', 'food', 'drug', 'administration', 'fda', 'treatment', 'covid']"
5033,3/27/2020,United Kingdom,,,,United Kingdom,Full Fact,Hydroxychloroquine and chloroquine are cures for the new coronavirus.,Facebook,https://www.facebook.com/mandy.brien.5/videos/vb.100002530947872/2941153822645620/?type=2&theater,https://fullfact.org/online/chloroquine-coronavirus/,English,false,"There aren’t yet peer-reviewed clinical studies to prove either drug is effective against the symptoms of, or can protect against, the new coronavirus. You should not take either unless you’re specifically prescribed them by a doctor.",cures,['United Kingdom'],facebook.com,https://www.facebook.com/mandy.brien.5/videos/vb.100002530947872/2941153822645620/?type=2&theater,facebook.com,2020-03-27,"['hydroxychloroquine', 'chloroquine', 'cures', 'new', 'coronavirus']"
2804,3/28/2020,Brazil,,,,Brazil,Aos Fatos,Photo shows a man was cured of COVID-19 by hydroxychloroquine.,Senso Incomum (site),https://www.google.com/url?sa=i&url=http%3A%2F%2Fsensoincomum.org%2F2020%2F03%2F27%2Fquatro-pacientes-foram-curados-em-sp-com-uso-da-hidroxicloroquina%2F&psig=AOvVaw3RDmToge3EkgFL9Tew9u6Q&ust=1585667914968000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCNCg6rm_wugCFQAAAAAdAAAAABAD,https://aosfatos.org/noticias/bolsonaristas-usam-foto-de-paciente-com-enfisema-pulmonar-para-promover-cura-da-covid-19/,Portuguese,partly false,"The image is from a 2019 Brazilian RBS report, prior to the coronavirus pandemic and any case recorded worldwide. The man is Walter Hugo Balestra Pombo, a patient with pulmonary emphysema admitted to the ICU of the Moinhos de Vento hospital in Porto Alegre due to treatment for pulmonary emphysema.",cures,['Brazil'],google.com,https://www.google.com/url?sa=i&url=http%3A%2F%2Fsensoincomum.org%2F2020%2F03%2F27%2Fquatro-pacientes-foram-curados-em-sp-com-uso-da-hidroxicloroquina%2F&psig=AOvVaw3RDmToge3EkgFL9Tew9u6Q&ust=1585667914968000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCNCg6rm_wugCFQAAAAAdAAAAABAD,google.com,2020-03-28,"['photo', 'shows', 'man', 'cured', 'covid', 'hydroxychloroquine']"
2871,3/29/2020,Colombia,,,,Colombia,Colombiacheck,"Last week, the Valle del Lili Foundation in Cali summoned a press conference to speak about a ""Treatment of infection with coronavirus (COVID-19)."" It was “a treatment option through two medications such as: Hydroxychloroquine and Azithromycin, which can rapidly decrease the growth and expansion of the virus in the patient, decrease the possibility of serious illness or respiratory failure, as well as the possibility of contagion to others,"" according to the press release.",Facebook,https://www.facebook.com/permalink.php?story_fbid=852961611885876&id=100015161350931,https://colombiacheck.com/chequeos/tratamiento-difundido-por-clinica-de-cali-para-covid-19-no-tiene-aun-evidencia-cientifica,Spanish,partly false,Treatment released by Cali clinic for COVID-19 does not yet have conclusive scientific evidence.,cures,['Colombia'],facebook.com,https://www.facebook.com/permalink.php?story_fbid=852961611885876&id=100015161350931,facebook.com,2020-03-29,"['week', 'valle', 'del', 'lili', 'foundation', 'cali', 'summoned', 'press', 'conference', 'speak', 'treatment', 'infection', 'coronavirus', 'covid', 'treatment', 'option', 'medications', 'hydroxychloroquine', 'azithromycin', 'rapidly', 'decrease', 'growth', 'expansion', 'virus', 'patient', 'decrease', 'possibility', 'illness', 'respiratory', 'failure', 'possibility', 'contagion', 'according', 'press', 'release']"
2933,3/30/2020,Brazil,,,,Brazil,Aos Fatos,The brazilian Health Surveillance Agency approved chloroquine/hydroxychloroquine as a treatment for COVID-19.,Facebook,https://www.facebook.com/photo.php?fbid=2942417769185678&set=a.346761422084672&type=3,https://aosfatos.org/noticias/cloroquina-so-foi-liberada-para-pacientes-internados-com-covid-19-posts-omitem-informacoes/,Portuguese,partly false,"Unlike what publications on social networks suggest, the release of chloroquine for the treatment of COVID-19 did not occur unrestrictedly. Nor did the guarantee come from Anvisa (Brazil's National Health Surveillance Agency). In fact, an information note from the Brazilian Ministry of Health published on March 27 authorized the use of the drug and indicated its dosage only for hospitalized patients in serious condition. In other words, the standard of the ministry does not allow the drug to be sold in pharmacies or prescribed by doctors for any treatment against the disease resulting from the new coronavirus.",other,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2942417769185678&set=a.346761422084672&type=3,facebook.com,2020-03-30,"['brazilian', 'health', 'surveillance', 'agency', 'approved', 'chloroquine', 'hydroxychloroquine', 'treatment', 'covid']"
3010,3/30/2020,India,Sri Lanka,,,"India, Sri Lanka",FactCrescendo,Hydroxychloroquine (HCQ) can prevent COVID-19.,WhatsApp,Unavaliable,https://www.malayalam.factcrescendo.com/no-this-drug-wont-protect-you-from-covid-19/,Malayalam,misleading,"The US FDA has approved the drug for treatment of COVID-19 as this anti-malarial drug might ease some symptoms. However, it is not proven to build resistance and prevent COVID-19 and its use without a doctor's prescription is not recommended.",cures,"['India', 'Sri Lanka']",N/A,Unavaliable,N/A,2020-03-30,"['hydroxychloroquine', 'hcq', 'prevent', 'covid']"
3158,4/1/2020,Colombia,,,,Colombia,La Silla Vacía,Hydroxychloroquine and Azithromycin are cures for COVID-19.,Facebook,https://www.facebook.com/jhon.murcia.4/posts/3110433455657490,https://lasillavacia.com/detector-no-no-se-ha-comprobado-hidroxicloroquina-mas-azitromicina-curen-covid-19,Spanish,no evidence,"There are hopeful trials but they are small, early and have methodological issues raised by experts. There is no controlled clinical trial. Some trials are ongoing.",spread,['Colombia'],facebook.com,https://www.facebook.com/jhon.murcia.4/posts/3110433455657490,facebook.com,2020-04-01,"['hydroxychloroquine', 'azithromycin', 'cures', 'covid']"
3520,4/5/2020,United States,,,,United States,PolitiFact,"Former NYC Mayor Rudolph Giuliani said he ""bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine"" in early February.",Tweets,https://archive.fo/Lw3yV,https://www.politifact.com/factchecks/2020/apr/09/tweets/fact-checking-rudy-giulianis-ties-hydroxychloroqui/,English,false,"While Novartis paid Giuliani a speaker’s fee in 2006, there is no publicly available evidence that he currently has a financial stake in the company. He has denied it in press reports.",other,['United States'],archive.fo,https://twitter.com/Wiseronenow/status/1246943270602780674,twitter.com,2020-04-05,"['nyc', 'mayor', 'rudolph', 'giuliani', 'said', 'bought', 'shares', 'novartis', 'primary', 'supplier', 'hydroxychloroquine', 'early', 'february']"
3531,4/5/2020,United States,,,,United States,Washington Post Fact-Checker,President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to COVID-19,news conference,https://factba.se/transcript/donald-trump-press-conference-coronavirus-briefing-april-5-2020,https://www.washingtonpost.com/politics/2020/04/13/how-false-hope-spread-about-hydroxychloroquine-its-consequences/,English,false,"Trump’s incorrect comments on the drugs and his role in advocating for their use, based on minimal and flimsy evidence, sets a bad example. His advocacy for this unproven treatment provides potentially false hope and has led to shortages for people who rely on the drugs. ",authorities,['United States'],factba.se,https://factba.se/transcript/donald-trump-press-conference-coronavirus-briefing-april-5-2020,factba.se,2020-04-05,"['president', 'trump', 'repeatedly', 'touted', 'anti', 'malarial', 'medications', 'hydroxychloroquine', 'chloroquine', 'needed', 'solution', 'covid']"
