,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
6539,5/21/2020,Lithuania,,,,Lithuania,Delfi Melo Detektorius (Lie Detector),"Claims infrared thermometers to measure temperature of potentially infected with COVID-19 are hazardous, since they damage the so called ""Third eye"".",Facebook posts,Unavaliable,https://www.delfi.lt/news/melo-detektorius/melas/siais-prietaisais-ragina-nesimatuoti-temperaturos-nurodo-keisciausia-priezasti.d?id=84336551,Lithuanian,false,There are no scientific proof to say that thermometers may cause any damage to a person being checked.,conspiracy theory,['Lithuania'],N/A,Unavaliable,N/A,2020-05-21,"['claims', 'infrared', 'thermometers', 'measure', 'temperature', 'potentially', 'infected', 'covid', 'hazardous', 'damage', 'called', 'eye']"
6970,6/9/2020,Peru,,,,Peru,OjoPúblico,Using laser thermometers to detect fever can damage the retina.,WhatsApp,https://drive.google.com/file/d/1NPimydIoq_OzT7qSnWX73asmyDxL5tWu/view?usp=sharing ,https://ojo-publico.com/1870/es-enganoso-que-termometro-laser-pueda-danar-la-retina,Spanish,misleading,"Non-contact fever thermometers do not emit lasers, but instead detect heat radiation from a body. But there are laser thermometers for industrial use that can cause damage.",other,['Peru'],google.com,https://drive.google.com/file/d/1NPimydIoq_OzT7qSnWX73asmyDxL5tWu/view?usp=sharing ,google.com,2020-06-09,"['laser', 'thermometers', 'detect', 'fever', 'damage', 'retina']"
7064,6/11/2020,Colombia,,,,Colombia,La Silla Vacía,"The laser of non-contact thermometers, which are used in public spaces during the coronavirus pandemic, affect the retina.",WhatsApp,Unavaliable,https://lasillavacia.com/detector-no-laser-los-termometros-no-contacto-no-quema-retina-77109,Spanish,false,The laser do not represent a danger to the eyes and retina.,,['Colombia'],N/A,Unavaliable,N/A,2020-06-11,"['laser', 'non', 'contact', 'thermometers', 'public', 'spaces', 'coronavirus', 'pandemic', 'affect', 'retina']"
7089,6/17/2020,Argentina,,,,Argentina,Chequeado,Infrared thermometers can cause damage to the retina.,"Whatsapp, Facebook",https://chequeado.com/wp-content/uploads/2020/06/falso-rayo-laser-1280x549.png,https://chequeado.com/verificacionfb/es-falso-que-los-termometros-infrarrojos-pueden-producir-danos-en-la-retina/,Spanish,false,"A viral chain on WhatsApp and Facebook alerts about possible damage with the ""laser beam"" emitted by thermometers that measure temperature without contact. However, thermometers do not emit laser beams, but instead have an infrared sensor that measures the temperature of people.",conspiracy theory,['Argentina'],chequeado.com,https://chequeado.com/wp-content/uploads/2020/06/falso-rayo-laser-1280x549.png,chequeado.com,2020-06-17,"['infrared', 'thermometers', 'cause', 'damage', 'retina']"
7330,6/18/2020,Colombia,,,,Colombia,Colombiacheck,‘Laser’ thermometers damage the retina.,Whatsapp,Unavaliable,https://colombiacheck.com/chequeos/no-termometros-laser-no-danan-la-retina,Spanish,false,WhatsApp audios and Facebook videos claim that the laser of the devices can affect the eyes. Ophthalmology experts contradict those versions.,conspiracy theory,['Colombia'],N/A,Unavaliable,N/A,2020-06-18,"['laser', 'thermometers', 'damage', 'retina']"
7438,6/20/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,Infrared thermometers damage neurons.,Whatsapp video,Unavaliable,https://efectococuyo.com/cocuyo-chequea/termometros-infrarrojos/,Spanish,false,"The infrared thermometers use a very low intesity light not laser like the industrial ones, so they are not harmful in any way.",conspiracy theory,['Venezuela'],N/A,Unavaliable,N/A,2020-06-20,"['infrared', 'thermometers', 'damage', 'neurons']"
7469,6/24/2020,Mexico,,,,Mexico,Animal Político,"Infrared or ""pistol"" thermometers can cause ophthalmic and neuronal damage.",Facebook ,https://www.facebook.com/enriqueta.ciprez/videos/3145505998803465/,https://animal.mx/2020/06/termometro-infrarrojo-riesgos-falso/,Spanish,false,The signal emitted by these thermometers is neither noticeable nor harmful to the human eye. Temperature measurement using technological tools such as infrared thermometers contributes to the prevention of COVID-19 infections.,authorities,['Mexico'],facebook.com,https://www.facebook.com/enriqueta.ciprez/videos/3145505998803465/,facebook.com,2020-06-24,"['infrared', 'pistol', 'thermometers', 'cause', 'ophthalmic', 'neuronal', 'damage']"
7362,6/25/2020,Mexico,,,,Mexico,Verificado,Infrared thermometers kill neurons and damage the eyes.,"WhatsApp, Facebook, YouTube",https://www.youtube.com/watch?v=hj8kxtsG9Pk ,https://verificado.com.mx/termometros-infrarrojos-no-matan-las-neuronas-ni-danan-ojos/,Spanish,false,"Hugo López-Gatell Ramírez, Mexico's undersecretary for Prevention and Health Promotion, stated that infrared non-contact thermometers do not kill neurons, as has been said in social networks.",conspiracy theory,['Mexico'],youtube.com,https://www.youtube.com/watch?v=hj8kxtsG9Pk ,youtube.com,2020-06-25,"['infrared', 'thermometers', 'kill', 'neurons', 'damage', 'eyes']"
7389,6/26/2020,Argentina,Bolivia,Mexico,Spain,"Argentina, Bolivia, Mexico, Spain",Chequeado,Infrared thermometers damage neurons.,"Whatsapp, Facebook",https://chequeado.com/wp-content/uploads/2020/06/FALSO-NEURONAS-1280x549.png,https://chequeado.com/verificacionfb/los-termometros-infrarrojos-no-danan-las-neuronas/,Spanish,false,"A viral video on WhatsApp and Facebook alerts about possible damage to the neurons of infrared thermometers that measure temperature at a distance. But thermometers do not emit X-ray-like radiation, as wrongly claimed in the video, and they do not harm the nervous system.",conspiracy theory,"['Argentina', 'Bolivia', 'Mexico', 'Spain']",chequeado.com,https://chequeado.com/wp-content/uploads/2020/06/FALSO-NEURONAS-1280x549.png,chequeado.com,2020-06-26,"['infrared', 'thermometers', 'damage', 'neurons']"
7466,6/26/2020,Colombia,,,,Colombia,La Silla Vacía,Infrared thermometers kill neurons.,Facebook,https://www.facebook.com/ida.demaria.771/videos/893807657793756/,https://lasillavacia.com/detector-no-los-termometros-no-contacto-no-danan-las-neuronas-77322,Spanish,false,These thermometers don't cause any harm.,other,['Colombia'],facebook.com,https://www.facebook.com/ida.demaria.771/videos/893807657793756/,facebook.com,2020-06-26,"['infrared', 'thermometers', 'kill', 'neurons']"
7479,6/30/2020,Italy,,,,Italy,Facta,"A video which claims that infrared thermometers would be ""killing us"" by altering our central nervous system.",Youtube,https://www.youtube.com/watch?v=CO03rGl7EIA&feature=youtu.be,https://facta.news/notizia-falsa/2020/06/30/no-utilizzare-il-termometro-a-infrarossi-non-altera-il-sistema-nervoso-centrale/,Italian,false,"The information is not correct. Infrared thermoters do not emit radiations, but they receive them instead. They are not harmful for human health.",other,['Italy'],youtube.com,https://www.youtube.com/watch?v=CO03rGl7EIA&feature=youtu.be,youtube.com,2020-06-30,"['video', 'claims', 'infrared', 'thermometers', 'killing', 'altering', 'central', 'nervous']"
