,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
3769,4/8/2020,Brazil,,,,Brazil,Estadão Verifica,Australian researchers discovered the cure for coronavirus: a antiparasitic medicine called Ivermectin.,Facebook posts,Unavaliable,https://politica.estadao.com.br/blogs/estadao-verifica/estudo-australiano-ainda-nao-provou-eficacia-de-remedio-contra-coronavirus-em-humanos/,Portuguese,false,Australian study has not yet proven efficacy of medicine on human subjects.,cures,['Brazil'],N/A,Unavaliable,N/A,2020-04-08,"['australian', 'researchers', 'discovered', 'cure', 'coronavirus', 'antiparasitic', 'medicine', 'called', 'ivermectin']"
4138,4/14/2020,Colombia,,,,Colombia,La Silla Vacía,Ivermectin helps for the symptoms of coronavirus.,WhatsApp,unavaliable,https://lasillavacia.com/detector-falta-evidencia-saber-si-ivermectina-ayuda-tratar-covid-19-76207,Spanish,misleading,Ivermectin has not been tested in humans with coronavirus.,,['Colombia'],N/A,unavaliable,N/A,2020-04-14,"['ivermectin', 'helps', 'symptoms', 'coronavirus']"
4918,4/30/2020,Brazil,,,,Brazil ,Aos Fatos,Ivermectin cures COVID-19.,Facebook,https://static.aosfatos.org/media/cke_uploads/2020/04/30/ivermectina-cura-o-virus.jpg,http://aosfatos.org/noticias/nao-e-verdade-que-o-remedio-ivermectina-cure-covid-19/,Portuguese,false,"There is no scientific evidence that the drug, used against worms and parasites, cures an infection caused by the new coronavirus. None of the researches that study the effects of the drug has yet proved it can be effective in treating COVID-19. In addition, the woman that appears in the video claiming she was cured of the disease by using ivermectin doesn't provide any tests to prove she had the inffection or that she was cured of it. ",cures,['Brazil'],aosfatos.org,https://static.aosfatos.org/media/cke_uploads/2020/04/30/ivermectina-cura-o-virus.jpg,aosfatos.org,2020-04-30,"['ivermectin', 'cures', 'covid']"
5335,5/3/2020,Bolivia,,,,Bolivia,Bolivia Verifica,Australian investigators indicate that Ivermectin can kill COVID-19 in 48 hours.,El Mundo,http://archive.vn/YsUQz#selection-1563.0-1563.101,https://boliviaverifica.bo/el-ivermectin-mata-al-coronavirus-en-48-horas/,Spanish,misleading,"The WHO recognizes ""Ivermectin"" as a medicine that can cure intestinal helminthiasis and skin parasites. There is no announcement from the WHO saying that this drug can combat COVID-19. There is no proven cure for COVID-19 as of now. ",cures,['Bolivia'],archive.vn,https://www.elmundo.es/ciencia-y-salud/salud/2020/05/02/5ead18e221efa0765f8b456e.html,elmundo.es,2020-05-03,"['australian', 'investigators', 'indicate', 'ivermectin', 'kill', 'covid', 'hours']"
5486,5/11/2020,Brazil,,,,Brazil,Estadão Verifica,A video of a Brazilian man claiming that azithromycin and ivermectin cure people with COVID-19.,Facebook,https://www.facebook.com/celio.alves.35977897/videos/vb.100035647085257/253360302528871/?type=2&theater,https://politica.estadao.com.br/blogs/estadao-verifica/sem-eficacia-comprovada-contra-covid-19-azitromicina-e-ivermectina-nao-devem-ser-tomados-sem-prescricao-medica/,Portuguese,false,"Scientists are researching the effectiveness of these two drugs against the novel coronavirus, but still there is no evidence that they work. The use of drugs without medical prescription can cause serious damage to people's health.",,['Brazil'],facebook.com,https://www.facebook.com/celio.alves.35977897/videos/vb.100035647085257/253360302528871/?type=2&theater,facebook.com,2020-05-11,"['video', 'brazilian', 'man', 'claiming', 'azithromycin', 'ivermectin', 'cure', 'people', 'covid']"
6732,5/30/2020,Mexico,,,,Mexico,Animal Político,Ivermectin is a drug that cures and prevents COVID-19.,Facebook ,Unavaliable,https://www.animalpolitico.com/elsabueso/bolivia-ivermectina-no-cura-covid/,Spanish,misleading,Neither ivermectin nor any other drug has been proven effective against the SARS-COV-2 coronavirus that causes COVID-19.,authorities,['Mexico'],N/A,Unavaliable,N/A,2020-05-30,"['ivermectin', 'drug', 'cures', 'prevents', 'covid']"
6725,6/5/2020,Brazil,,,,Brazil,Estadão Verifica,Azithromycin and ivermectin are efficient medicines to cure COVID-19.,Facebook posts,Unavaliable,https://politica.estadao.com.br/blogs/estadao-verifica/automedicacao-em-casos-de-covid-19-e-perigosa-nao-siga-receitas-de-redes-sociais/,Portuguese,false,Both drugs are effective in vitro but up to now have failed to cure COVID-19 on people.,cures,['Brazil'],N/A,Unavaliable,N/A,2020-06-05,"['azithromycin', 'ivermectin', 'efficient', 'medicines', 'cure', 'covid']"
7046,6/12/2020,Brazil,,,,Brazil,Estadão Verifica,Ivermectin is the cure for COVID-19.,Facebook posts,Unavaliable,https://politica.estadao.com.br/blogs/estadao-verifica/post-distorce-informacoes-sobre-eficacia-da-ivermectina/,Portuguese,false,"Doctor supports the use of the drug to treat patients with COVID-19 but denies that it is the cure for the disease. Also, the person who's quoted said posts and bloggers exagerated what he had said about the drug.",cures,['Brazil'],N/A,Unavaliable,N/A,2020-06-12,"['ivermectin', 'cure', 'covid']"
7468,6/18/2020,Mexico,,,,Mexico,Animal Político,"Video of a man dressed in white who recommends taking ivermectin, aspirin, and ibuprofen to treat COVID-19. That's the formula they used in Australia.",Facebook ,https://www.facebook.com/MusicasyReflexiones/videos/pcb.1169395420073681/255423859075851/?type=3&theater,https://www.animalpolitico.com/elsabueso/australia-no-aprobo-ivermectina-medicamento-covid-19/,Spanish,false,"The Australian government did not approve ivermectin or any drugs to treat COVID-19. Although studies continue to be carried out to determine if any drug such as ivermectin is effective in preventing or curing COVID-19, there are still none that have proven its efficacy.",cures,['Mexico'],facebook.com,https://www.facebook.com/MusicasyReflexiones/videos/pcb.1169395420073681/255423859075851/?type=3&theater,facebook.com,2020-06-18,"['video', 'man', 'dressed', 'white', 'recommends', 'taking', 'ivermectin', 'aspirin', 'ibuprofen', 'treat', 'covid', 'formula', 'australia']"
7269,6/19/2020,Brazil,,,,Brazil,Aos Fatos,"When symptoms of COVID-19 appear, people should take azithromycin, ivermectin and Anitta.",Facebook and WhatsApp,https://www.facebook.com/photo.php?fbid=10223351558557952&set=a.10201673454178891&type=3,https://www.aosfatos.org/noticias/azitromicina-ivermectina-e-nitazoxanida-nao-tem-eficacia-comprovada-contra-covid-19/,Portuguese,false,"There is still no effective remedy against the infection, according to scientists, medical entities and health authorities. In addition, self-medication with these compounds can pose health risks.",cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=10223351558557952&set=a.10201673454178891&type=3,facebook.com,2020-06-19,"['symptoms', 'covid', 'appear', 'people', 'azithromycin', 'ivermectin', 'anitta']"
