,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1558,3/16/2020,Middle East,North Africa,,,"Middle East, North Africa",Misbar,President Trump: Swiss company Roche discovered a cure for coronavirus.,"Facebook, Twitter",https://www.facebook.com/watch/?v=2595008980784231,https://misbar.com/factcheck/5e6fa0b9d4a229153b5c4964,Arabic,false,The video is out of context and the claim is fake.,cures,"['Middle East', 'North Africa']",facebook.com,https://www.facebook.com/watch/?v=2595008980784231,facebook.com,2020-03-16,"['president', 'trump', 'swiss', 'company', 'roche', 'discovered', 'cure', 'coronavirus']"
1651,3/17/2020,India,,,,India,Factly,Video of President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19 next Sunday.,Facebook,https://www.facebook.com/asiya.arzo.7/posts/120364786231592,https://factly.in/trumps-announcement-is-about-fdas-approval-of-a-coronavirus-test-developed-by-roche-not-a-vaccine/,English,false,"In the video, American President Donald Trump didn't say that Roche Medical Company will launch the vaccine for COVID-19. He announced the FDA’s approval of a coronavirus ""test"" developed by a company named Roche to accelerate the country’s capacity to test for the virus.",cures,['India'],facebook.com,https://www.facebook.com/asiya.arzo.7/posts/120364786231592,facebook.com,2020-03-17,"['video', 'president', 'donald', 'trump', 'announcing', 'roche', 'medical', 'company', 'launch', 'vaccine', 'covid', 'sunday']"
1696,3/17/2020,India,,,,India,BOOM FactCheck,President Donald Trump announced a vaccine by Roche Diagnostics.,WhatsApp,Unavaliable,https://www.boomlive.in/fake-news/no-trump-did-not-announce-the-launch-of-a-coronavirus-vaccine-by-roche-7248,English,false,"Roche Diagnostics received FDA approval for testing kits, not a vaccine.",cures,['India'],N/A,Unavaliable,N/A,2020-03-17,"['president', 'donald', 'trump', 'announced', 'vaccine', 'roche', 'diagnostics']"
1762,3/18/2020,India,,,,India,Factly,Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19.,Many social media platforms,https://www.facebook.com/khaleel.syed.334839/videos/2499584410296548/,https://factly.in/telugu-trumps-announcement-is-about-fdas-approval-of-a-coronavirus-test-developed-by-roche-not-a-vaccine/,Telugu,false,"In the video, American President Donald Trump hasn't said that Roche Medical Company will launch the vaccine for COVID-19. He announced FDA’s approval of a coronavirus ‘test’ developed by a company ‘Roche’ to increase and accelerate the country’s capacity to test for the virus.",cures,['India'],facebook.com,https://www.facebook.com/khaleel.syed.334839/videos/2499584410296548/,facebook.com,2020-03-18,"['video', 'american', 'president', 'donald', 'trump', 'announcing', 'roche', 'medical', 'company', 'launch', 'vaccine', 'covid']"
1809,3/18/2020,India,,,,India,India Today,Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,Facebook,http://archive.today/wAYci,https://www.indiatoday.in/fact-check/story/donald-trump-coronavirus-vaccine-ready-use-roche-1656674-2020-03-18,English,false,Donald Trump never said this. Roche has only emergency approval from the FDA for coronavirus tests.,cures,['India'],archive.today,https://www.facebook.com/soumya.binu.750/videos/3047906438595274/,facebook.com,2020-03-18,"['donald', 'trump', 'announced', 'roche', 'launch', 'vaccine', 'coronavirus', 'sunday']"
2246,3/23/2020,Brazil,,,,Brazil,Aos Fatos,Vaccine made by Roche Medical Company cures COVID-19 in 3 hours.,Facebook,https://www.facebook.com/photo.php?fbid=2483933435189081&set=a.1595675717348195&type=3,https://aosfatos.org/noticias/nao-e-verdade-que-vacina-cura-covid-19-em-tres-horas/,Portuguese,false,"It is not true that a vaccine against the coronavirus cures the patient in three hours, as stated by publications circulating on the networks. The photo that accompanies the text is actually a quick test for the detection of COVID-19 produced by the South Korean pharmaceutical company Sugentech. There are no approved vaccines against the new coronavirus yet.",cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2483933435189081&set=a.1595675717348195&type=3,facebook.com,2020-03-23,"['vaccine', 'roche', 'medical', 'company', 'cures', 'covid', 'hours']"
2300,3/23/2020,United States,,,,United States,PesaCheck,Roche has developed a COVID-19 vaccine.,Facebook,https://archive.vn/Pz0jE,https://pesacheck.org/false-this-video-claiming-that-roche-has-developed-a-vaccine-against-covid-19-is-a-hoax-7eddf408dc46?source=rss----ab41f21aa9a9---4,English,false,A video claiming that the pharmaceutical company has developed a vaccine for COVID-19 contains false information.,cures,['United States'],archive.vn,https://www.facebook.com/watch/?v=629676257881072,facebook.com,2020-03-23,"['roche', 'developed', 'covid', 'vaccine']"
2304,3/23/2020,Brazil,,,,Brazil,Agência Lupa,"A vaccine that cures COVID-19 in three hours will be released next Sunday, according to President Donald Trump. Roche has already produced millions of those vaccines.",Facebook,https://www.facebook.com/photo.php?fbid=2575310482712911&set=a.1378757355701569&type=3,https://piaui.folha.uol.com.br/lupa/2020/03/23/verificamos-vacina-coronavirus-roche/,Portuguese,false,"Vaccines do not cure diseases, they prevent diseases. Roche is starting clinical trials on a proprietary drug that might be efficient for treating COVID-19, but the tests will only start in April 2020 and no promise of ""3-hour cure"" has been made. Donald Trump did not say anything this.",cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2575310482712911&set=a.1378757355701569&type=3,facebook.com,2020-03-23,"['vaccine', 'cures', 'covid', 'hours', 'released', 'sunday', 'according', 'president', 'donald', 'trump', 'roche', 'produced', 'millions', 'vaccines']"
2585,3/25/2020,Philippines,,,,Philippines,VERA Files,Post claims U.S. President Donald Trump announced that Roche Diagnostics is launching a vaccine for COVID-19.,FB user,https://www.facebook.com/100000560216994/videos/3239149582780350/,https://verafiles.org/articles/vera-files-fact-check-fb-post-trump-announcing-launch-covid,English,false,"The clip used in the post only shows Roche Diagnostics, during a Trump presser, thanking the U.S. Centers for Disease Control and Prevention and Food and Drug Administration for authorizing the emergency use of their newly developed SARS-CoV-2 testing kits.",authorities,['Philippines'],facebook.com,https://www.facebook.com/100000560216994/videos/3239149582780350/,facebook.com,2020-03-25,"['post', 'claims', 'president', 'donald', 'trump', 'announced', 'roche', 'diagnostics', 'launching', 'vaccine', 'covid']"
6680,3/28/2020,India,,,,India,BOOM FactCheck,The vaccine for coronavirus is ready. US President Donald Trump has announced that Roche Medical Company will launch it.,Facebook & WhatsApp,https://www.facebook.com/photo.php?fbid=667273334045466&set=a.586650275441106&type=3,https://hindi.boomlive.in/fake-news/no-these-photos-and-video-do-not-show-a-vaccine-against-coronavirus-7411,Hindi,false,Few unrelated images and videos have been put together to make this false claim. A vaccine has not been developed for the novel coronavirus.,cures,['India'],facebook.com,https://www.facebook.com/photo.php?fbid=667273334045466&set=a.586650275441106&type=3,facebook.com,2020-03-28,"['vaccine', 'coronavirus', 'ready', 'president', 'donald', 'trump', 'announced', 'roche', 'medical', 'company', 'launch']"
