,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
1336,3/13/20,Nigeria,,,,Nigeria,Dubawa,A Twitter post claimed Cristiano Ronaldo is transforming his string of hotels to hospitals to aid in the fight against COVID-19.,Twitter,Unavaliable,https://dubawa.org/ronaldo-is-not-transforming-his-hotels-to-hospitals/,English,FALSE,"A spokesperson from the hotel denied the claim and there is no such statement present on any of the footballer’s media accounts. 

",other,['Nigeria'],N/A,Unavaliable,N/A,3/13/20,"['twitter', 'post', 'claimed', 'cristiano', 'ronaldo', 'transforming', 'string', 'hotels', 'hospitals', 'aid', 'fight', 'covid']"
1412,3/14/20,Australia,Russia,,,"Australia, Russia",AFP,Cristiano Ronaldo will convert his hotels into coronavirus hospitals.,Photo + text,https://perma.cc/CEU5-X6N5,https://factcheck.afp.com/hoax-report-circulates-cristiano-ronaldo-will-convert-his-hotels-coronavirus-hospitals,English,FALSE,"A spokesperson for the hotels said the claim was “inaccurate."" Ronaldo has not mentioned any such plan on his social media platforms.",other,"['Australia', 'Russia']",perma.cc,https://twitter.com/adriandelmonte/status/1238998492019929088,twitter.com,3/14/20,"['cristiano', 'ronaldo', 'convert', 'hotels', 'coronavirus', 'hospitals']"
1491,3/15/20,Australia,,,,Australia,AAP FactCheck,Claim that football star Cristiano Ronaldo has converted his hotel chain into coronavirus hospitals.,Facebook,Unavaliable,https://www.aap.com.au/cristiano-ronaldo-is-not-converting-his-portuguese-hotels-into-covid-19-hospitals/,English,FALSE,"A spokesman for Cristiano Ronaldo’s hotel chain, the Pestana CR7, denied the report by sports newspaper Marca. Marca deleted the original report and social media posts. Ronaldo has not publicly commented on the report.",other,['Australia'],N/A,Unavaliable,N/A,3/15/20,"['claim', 'football', 'star', 'cristiano', 'ronaldo', 'converted', 'hotel', 'chain', 'coronavirus', 'hospitals']"
1487,3/15/20,Portugal,,,,Portugal,Poligrafo,The Portuguese soccer player Cristiano Ronaldo decided to turn his hotels into free hospitals,"Facebook, Twitter, Media",https://www.facebook.com/arenadesportiva.pt/posts/475863916441209,https://poligrafo.sapo.pt/fact-check/hoteis-de-ronaldo-vao-ser-transformados-em-hospitais-para-receber-doentes-com-coronavirus,Portuguese,FALSE,Cristiano Ronaldo has never decide to turn his hotels in to free hospitals.,other,['Portugal'],facebook.com,https://www.facebook.com/arenadesportiva.pt/posts/475863916441209,facebook.com,3/15/20,"['portuguese', 'soccer', 'player', 'cristiano', 'ronaldo', 'decided', 'turn', 'hotels', 'free', 'hospitals']"
1483,3/15/20,Portugal,,,,Portugal,Observador,Cristiano Ronaldo is going to transform his hotels into hospitals.,"Facebook, Website",https://www.diarioportugues.pt/2020/03/cristiano-ronaldo-transforma-os-seus.html?fbclid=IwAR3Mnjx_ahzoNQn4iJtYJ8WZJVc3Z7C0LlONBrlWRilxRqZNhYMcQXkYpX4,https://observador.pt/factchecks/fact-check-cristiano-ronaldo-vai-transformar-os-seus-hoteis-em-hospitais/,Portuguese,FALSE,"The claim about the Portuguese football player is not true, sources close to the hotels and the player confirmed.",other,['Portugal'],diarioportugues.pt,https://www.diarioportugues.pt/2020/03/cristiano-ronaldo-transforma-os-seus.html?fbclid=IwAR3Mnjx_ahzoNQn4iJtYJ8WZJVc3Z7C0LlONBrlWRilxRqZNhYMcQXkYpX4,diarioportugues.pt,3/15/20,"['cristiano', 'ronaldo', 'going', 'transform', 'hotels', 'hospitals']"
1482,3/15/20,Middle East,North Africa,,,"Middle East, North Africa",Misbar,The Italian medical sector is angry at Ronaldo.,"Facebook, Twitter",https://www.facebook.com/sawtelghad/posts/3079475065443630,https://misbar.com/factcheck/5e6e8de7d4a2295a7c082b43,Arabic,misleading,"The first claim deals with attributing a tweet to a Spanish biology researcher who blames her government for the poor salary biologists receive, while the second claim deals with the content of the tweet itself that Cristiano Ronaldo receives one million euros, unlike doctors who receive 1,300 euros per month. The news is misleading.",other,"['Middle East', 'North Africa']",facebook.com,https://www.facebook.com/sawtelghad/posts/3079475065443630,facebook.com,3/15/20,"['italian', 'medical', 'sector', 'angry', 'ronaldo']"
1481,3/15/20,Middle East,North Africa,,,"Middle East, North Africa",Misbar,Ronaldo Bought an island to isolate himself from coronavirus.,"Facebook, Twitter",https://www.mtv.com.lb/en/News/International/1031843/Cristiano-Ronaldo-Buys-Island-in-the-Pacific-to-Escape-from-Coronavirus,https://misbar.com/factcheck/5e6e2c4ad4a22907e33137a3,Arabic,FALSE,"Misbar confirmed the news is false. Cristiano Ronaldo did not buy an island to isolate him. After suspending the Series A matches due to the outbreak of COVID-19, he returned to the Portuguese island of Madeira, his hometown in the Atlantic Ocean.",other,"['Middle East', 'North Africa']",mtv.com.lb,https://www.mtv.com.lb/en/News/International/1031843/Cristiano-Ronaldo-Buys-Island-in-the-Pacific-to-Escape-from-Coronavirus,mtv.com.lb,3/15/20,"['ronaldo', 'bought', 'island', 'isolate', 'coronavirus']"
1503,3/15/20,France,,,,France,Les Décodeurs,Cristiano Ronaldo transformed some of his hotels into hospitals to fight COVID-19.,Facebook,https://www.facebook.com/Butdecouples/photos/a.1637117326532875/2911377795773482/,https://www.lemonde.fr/les-decodeurs/article/2020/03/16/coronavirus-la-fausse-rumeur-des-hotels-de-cristiano-ronaldo-transformes-en-hopitaux_6033307_4355770.html,French,FALSE,Cristiano Ronaldo refuted those claims.,other,['France'],facebook.com,https://www.facebook.com/Butdecouples/photos/a.1637117326532875/2911377795773482/,facebook.com,3/15/20,"['cristiano', 'ronaldo', 'transformed', 'hotels', 'hospitals', 'fight', 'covid']"
1474,3/15/20,France,Portugal,Russia,,"France, Portugal, Russia",AFP,Cristiano Ronaldo will convert his hotels into coronavirus hospitals.,"Facebook, Twitter",https://perma.cc/7R8E-CC2P,https://factuel.afp.com/non-cristiano-ronaldo-na-pas-transforme-ses-hotels-en-hopitaux-pour-accueillir-les-malades-du,French,FALSE,"A spokesperson for the hotels said the claim was “inaccurate."" Ronaldo has also not mentioned any such plan on his social media platforms.",other,"['France', 'Portugal', 'Russia']",perma.cc,https://www.facebook.com/photo.php?fbid=880766592365912&set=a.113001499142429&type=3&theater,facebook.com,3/15/20,"['cristiano', 'ronaldo', 'convert', 'hotels', 'coronavirus', 'hospitals']"
1464,3/15/20,Poland,,,,Poland,Demagog,Cristiano Ronaldo will turn his hotels into hospitals.,Facebook,https://www.facebook.com/FlashScorePL/photos/a.215464678500059/2947871101926056/?type=3&theater,https://demagog.org.pl/analizy_i_raporty/nie-cristiano-ronaldo-nie-przeksztalci-swoich-hoteli-w-szpitale/,Polish,FALSE,Information was published without verification and denied.,other,['Poland'],facebook.com,https://www.facebook.com/FlashScorePL/photos/a.215464678500059/2947871101926056/?type=3&theater,facebook.com,3/15/20,"['cristiano', 'ronaldo', 'turn', 'hotels', 'hospitals']"
1456,3/15/20,Colombia,,,,Colombia,Colombiacheck,Cristiano Ronaldo transformed his hotels into hospitals for COVID-19 patients.,Media,Unavaliable,https://colombiacheck.com/chequeos/cristiano-ronaldo-no-ha-convertido-sus-hoteles-en-hospitales-de-coronavirus,Spanish,FALSE,Cristiano Ronaldo did not say this and is not planning to do this.,other,['Colombia'],N/A,Unavaliable,N/A,3/15/20,"['cristiano', 'ronaldo', 'transformed', 'hotels', 'hospitals', 'covid', 'patients']"
1449,3/15/20,South Africa,,,,South Africa,AfricaCheck,Footballer Ronaldo is turning his hotels into COVID-19 hospitals.,Facebook,https://www.facebook.com/photo.php?fbid=3684917268249413&set=a.106773289397180&type=3&theater&_rdc=1&_rdr,https://africacheck.org/fbcheck/no-footballer-ronaldo-isnt-turning-his-hotels-into-covid-19-hospitals/,English,FALSE,There is no evidence that Ronaldo's luxury hotels in Portugal are being turned into hospitals.,other,['South Africa'],facebook.com,https://www.facebook.com/photo.php?fbid=3684917268249413&set=a.106773289397180&type=3&theater&_rdc=1&_rdr,facebook.com,3/15/20,"['footballer', 'ronaldo', 'turning', 'hotels', 'covid', 'hospitals']"
1475,3/15/20,Croatia,,,,Croatia,Faktograf,Cristiano Ronaldo turned his hotels into hospitals.,Facebook,Unavaliable,https://faktograf.hr/2020/03/16/cristiano-ronaldo-nije-svoje-hotele-pretvorio-u-bolnice-zbog-koronavirusa/,Croatian,FALSE,The claim is false.,other,['Croatia'],N/A,Unavaliable,N/A,3/15/20,"['cristiano', 'ronaldo', 'turned', 'hotels', 'hospitals']"
1545,3/16/20,United States,,,,United States,LeadStories,Cristiano Ronaldo is turning his hotels into hospitals to fight coronavirus.,Sporting Life,https://sportinglife.ng/ronaldo-turning-his-cr7-hotels-into-hospitals-to-help-stop-coronavirus/,https://hoax-alert.leadstories.com/3471937-fact-check-cristiano-ronaldo-is-not-turning-his-cr7-hotels-into-hospitals-for-people-with-coronavirus.html,English,FALSE,Ronaldo's management company denied the claim.,other,['United States'],sportinglife.ng,https://sportinglife.ng/ronaldo-turning-his-cr7-hotels-into-hospitals-to-help-stop-coronavirus/,sportinglife.ng,3/16/20,"['cristiano', 'ronaldo', 'turning', 'hotels', 'hospitals', 'fight', 'coronavirus']"
1561,3/16/20,Italy,,,,Italy,Pagella Politica,The Portuguese soccer player Cristiano Ronaldo decided to turn his hotels into free hospitals,"Facebook, Twitter, Media",https://www.facebook.com/JuventusCRIS/photos/a.756780641112762/1568861253238026/?type=3&theater,https://pagellapolitica.it/bufale/show/1001/la-bufala-su-cr7-e-gli-hotel-trasformati-in-ospedali,Italian,FALSE,This claim is false.,other,['Italy'],facebook.com,https://www.facebook.com/JuventusCRIS/photos/a.756780641112762/1568861253238026/?type=3&theater,facebook.com,3/16/20,"['portuguese', 'soccer', 'player', 'cristiano', 'ronaldo', 'decided', 'turn', 'hotels', 'free', 'hospitals']"
1578,3/16/20,India,,,,India,BOOM FactCheck,Cristiano Ronaldo's hotels to be turned into quarantine centres in Portugal.,Twitter,http://archive.is/iAEcv,https://www.boomlive.in/fake-news/no-cristiano-ronaldos-hotels-will-not-be-turned-into-hospitals-for-coronavirus-patients-7233,English,FALSE,Footballer's hotel chains denied the claim.,other,['India'],archive.is,https://twitter.com/footmercato/status/1238978864233185281,twitter.com,3/16/20,"['cristiano', 'ronaldo', 'hotels', 'turned', 'quarantine', 'centres', 'portugal']"
