,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
46,1/26/2020,Brazil,,,,Brazil,Estadão Verifica,"The director of a major hospital in São Paulo, Brazil, has recommended drinking fennel tea and eating bull's liver as ways of prevention against COVID-19.","Facebook, WhatsApp",https://www.facebook.com/photo.php?fbid=2746156932099022&set=a.235406933174047&type=3&theater,https://politica.estadao.com.br/blogs/estadao-verifica/coronavirus-corrente-de-whatsapp-dissemina-informacoes-falsas-sobre-prevencao/,Portuguese,false,"The recommendations made on the text do not follow WHO's pattern and include a false information about the medicine Tamiflu. Furthermore, the hospital said its board of directors didn't send out any alert of this kind.",cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2746156932099022&set=a.235406933174047&type=3&theater,facebook.com,2020-01-26,"['director', 'major', 'hospital', 'são', 'paulo', 'brazil', 'recommended', 'drinking', 'fennel', 'tea', 'eating', 'bull', 'liver', 'ways', 'prevention', 'covid']"
132,1/29/2020,Brazil,,,,Brazil,Aos Fatos,Doctors recommend vitamin C and fennel seed tea to help avoid the novel coronavirus.,"Facebook, Website",Unavaliable,https://aosfatos.org/noticias/medicos-nao-indicaram-vitamina-c-e-cha-de-erva-doce-contra-coronavirus/,Portuguese,false,There is no scientific evidence to support the claim that vitamin C or fennel seed tea are effective in the treatment or prevention of the novel coronavirus.,cures,['Brazil'],N/A,Unavaliable,N/A,2020-01-29,"['doctors', 'recommend', 'vitamin', 'fennel', 'seed', 'tea', 'help', 'avoid', 'novel', 'coronavirus']"
238,1/31/2020,Brazil,,,,Brazil,Estadão Verifica,Doctors recommend Vitamin C and fennel seed tea to warn off the novel coronavirus.,"Facebook, WhatsApp",https://www.facebook.com/photo.php?fbid=2758951094151330&set=a.455854627794333&type=3,https://politica.estadao.com.br/blogs/estadao-verifica/coronavirus-corrente-de-whatsapp-dissemina-informacoes-falsas-sobre-prevencao/?check=1,Portuguese,false,Please click the link to read the full article,cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2758951094151330&set=a.455854627794333&type=3,facebook.com,2020-01-31,"['doctors', 'recommend', 'vitamin', 'fennel', 'seed', 'tea', 'warn', 'novel', 'coronavirus']"
5424,1/31/2020,Brazil,,,,Brazil,AFP,Fennel tea is a cure against the new coronavirus.,Facebook,https://perma.cc/747X-VCJF,https://checamos.afp.com/medicos-nao-recomendam-cha-de-erva-doce-para-combater-o-novo-coronavirus,Portuguese,false,"The fact that the fennel tea is infused with the same substance of the Tamiflu remedy, people assumed it could kill the coronavirus. Experts deny, however, this relationship between fennel and the drug, which, in turn, is not indicated for the treatment of coronavirus",,['Brazil'],perma.cc,https://www.facebook.com/Vaibrasil/posts/2947594231966893?__tn__=H-R,facebook.com,2020-01-31,"['fennel', 'tea', 'cure', 'new', 'coronavirus']"
230,1/31/2020,Brazil,,,,Brazil,AFP,Fennel tea can cure the coronavirus.,Facebook,https://perma.cc/ZS6M-AQY2,https://factuel.afp.com/non-les-medecins-ne-recommandent-pas-le-au-fenouil-pour-combattre-le-nouveau-coronavirus,French,false,Doctors are not saying fennel tea can kill the coronavirus.,cures,['Brazil'],perma.cc,https://www.facebook.com/groups/418979411813408/permalink/1036712046706805/,facebook.com,2020-01-31,"['fennel', 'tea', 'cure', 'coronavirus']"
264,2/1/2020,Brazil,,,,Brazil,Agência Lupa,"""How to prevent the coronavirus: Drink fennel tea twice a day. Fennel tea has the same component as Tamiflu medicine, used to treat H1N1"".",Facebook,https://www.facebook.com/photo.php?fbid=2571373726465493&set=p.2571373726465493&type=3&theater,https://piaui.folha.uol.com.br/lupa/2020/01/27/verificamos-coronavirus-infectou-28-milhoes-matou-112-mil-china/,Portuguese,false,Fennel tea does not have the same component as Tamiflu. Tamiflu is not recommended by WHO to treat the new coronavirus.,cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2571373726465493&set=p.2571373726465493&type=3&theater,facebook.com,2020-02-01,"['prevent', 'coronavirus', 'drink', 'fennel', 'tea', 'twice', 'day', 'fennel', 'tea', 'component', 'tamiflu', 'medicine', 'treat', 'h1n1']"
359,2/4/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,"According to the Chinese CDC, tea can reduce the risk of contracting coronavirus.",Facebook,Unavaliable,https://tfc-taiwan.org.tw/articles/2325,Chinese (traditional),false,Chinese CDC has not published such a study. There is no evidence that tea cures the coronavirus.,cures,['Taiwan'],N/A,Unavaliable,N/A,2020-02-04,"['according', 'chinese', 'cdc', 'tea', 'reduce', 'risk', 'contracting', 'coronavirus']"
360,2/4/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,Study indicates that black tea and Pu'er tea can prevent coronavirus,"Line, Facebook",Unavaliable,https://tfc-taiwan.org.tw/articles/2328,Chinese (traditional),false,There has been no evidence to suggest that drinking tea has protected people from infection.,cures,['Taiwan'],N/A,Unavaliable,N/A,2020-02-04,"['study', 'indicates', 'black', 'tea', 'tea', 'prevent', 'coronavirus']"
633,2/18/2020,Philippines,,,,Philippines,VERA Files,The novel coronavirus only survives in cold weather and hot ginger tea or salabat can cure COVID-19.,FB pages,Unavaliable,https://verafiles.org/articles/vera-files-fact-check-fb-posts-claiming-2019-ncov-only-survi,English,false,"The WHO said COVID-19 has spread in countries ""with both hot and humid climates, as well as cold and dry.” It also said there remains to be “no specific medicine recommended to prevent or treat the novel coronavirus.” ",cures,['Philippines'],N/A,Unavaliable,N/A,2020-02-18,"['novel', 'coronavirus', 'survives', 'cold', 'weather', 'hot', 'ginger', 'tea', 'salabat', 'cure', 'covid']"
850,2/29/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,Drinking warm water or tea can prevent contagions.,"Whatsapp, Bloggers",https://informacionesuy.wordpress.com/category/publicado/,https://efectococuyo.com/cocuyo-chequea/coronavirus-te-caliente/,Spanish,false,Studies do not prove coronavirus is affected by temperature and or inanimate objects.,cures,['Venezuela'],wordpress.com,https://informacionesuy.wordpress.com/category/publicado/,wordpress.com,2020-02-29,"['drinking', 'warm', 'water', 'tea', 'prevent', 'contagions']"
