,date,country_1,country_2,country_3,country_4,countries,organization,claim,source,source_url,fact_check_url,fact_check_lang,final_rating,explanation,category,countries_list,source_domain,resolved_url,resolved_domain,datetime,claim_p
90,1/27/2020,United States,,,,United States,PolitiFact,The coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”,Facebook,https://www.facebook.com/themegavitaminman/photos/a.154722701400928/1234263616780159/?type=3&theater,https://www.politifact.com/factchecks/2020/feb/29/facebook-posts/no-vitamin-c-cannot-slow-or-stop-spread-coronaviru/?check=1,English,false,"There’s currently no vaccine or medicine recommended to treat the current coronavirus, and there’s no evidence high doses of vitamin C has any effect.",cures,['United States'],facebook.com,https://www.facebook.com/themegavitaminman/photos/a.154722701400928/1234263616780159/?type=3&theater,facebook.com,2020-01-27,"['coronavirus', 'slowed', 'stopped', 'immediate', 'widespread', 'use', 'high', 'doses', 'vitamin']"
132,1/29/2020,Brazil,,,,Brazil,Aos Fatos,Doctors recommend vitamin C and fennel seed tea to help avoid the novel coronavirus.,"Facebook, Website",Unavaliable,https://aosfatos.org/noticias/medicos-nao-indicaram-vitamina-c-e-cha-de-erva-doce-contra-coronavirus/,Portuguese,false,There is no scientific evidence to support the claim that vitamin C or fennel seed tea are effective in the treatment or prevention of the novel coronavirus.,cures,['Brazil'],N/A,Unavaliable,N/A,2020-01-29,"['doctors', 'recommend', 'vitamin', 'fennel', 'seed', 'tea', 'help', 'avoid', 'novel', 'coronavirus']"
134,1/29/2020,Brazil,,,,Brazil,Aos Fatos,Vitamin C with zinc prevent and treat the coronavirus infection.,"Facebook, WhatsApp",https://www.facebook.com/search/top/?q=nesta%20fase%20do%20coronavirus&epa=FILTERS&filters=eyJycF9jcmVhdGlvbl90aW1lIjoie1wibmFtZVwiOlwiY3JlYXRpb25fdGltZVwiLFwiYXJnc1wiOlwie1xcXCJzdGFydF95ZWFyXFxcIjpcXFwiMjAyMFxcXCIsXFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAyMC0xXFxcIixcXFwiZW5kX3llYXJcXFwiOlxcXCIyMDIwXFxcIixcXFwiZW5kX21vbnRoXFxcIjpcXFwiMjAyMC0xMlxcXCIsXFxcInN0YXJ0X2RheVxcXCI6XFxcIjIwMjAtMS0xXFxcIixcXFwiZW5kX2RheVxcXCI6XFxcIjIwMjAtMTItMzFcXFwifVwifSJ9,https://aosfatos.org/noticias/vitamina-c-com-zinco-nao-previne-nem-trata-sintomas-do-novo-coronavirus/,Portuguese,false,"According to WHO, there is still no remedy to treat the 2019-nCoV virus and preventive measures include washing your hands frequently and avoiding contact with infected people, not taking vitamin C with zinc.",cures,['Brazil'],facebook.com,https://www.facebook.com/search/top/?q=nesta%20fase%20do%20coronavirus&epa=FILTERS&filters=eyJycF9jcmVhdGlvbl90aW1lIjoie1wibmFtZVwiOlwiY3JlYXRpb25fdGltZVwiLFwiYXJnc1wiOlwie1xcXCJzdGFydF95ZWFyXFxcIjpcXFwiMjAyMFxcXCIsXFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAyMC0xXFxcIixcXFwiZW5kX3llYXJcXFwiOlxcXCIyMDIwXFxcIixcXFwiZW5kX21vbnRoXFxcIjpcXFwiMjAyMC0xMlxcXCIsXFxcInN0YXJ0X2RheVxcXCI6XFxcIjIwMjAtMS0xXFxcIixcXFwiZW5kX2RheVxcXCI6XFxcIjIwMjAtMTItMzFcXFwifVwifSJ9,facebook.com,2020-01-29,"['vitamin', 'zinc', 'prevent', 'treat', 'coronavirus', 'infection']"
238,1/31/2020,Brazil,,,,Brazil,Estadão Verifica,Doctors recommend Vitamin C and fennel seed tea to warn off the novel coronavirus.,"Facebook, WhatsApp",https://www.facebook.com/photo.php?fbid=2758951094151330&set=a.455854627794333&type=3,https://politica.estadao.com.br/blogs/estadao-verifica/coronavirus-corrente-de-whatsapp-dissemina-informacoes-falsas-sobre-prevencao/?check=1,Portuguese,false,Please click the link to read the full article,cures,['Brazil'],facebook.com,https://www.facebook.com/photo.php?fbid=2758951094151330&set=a.455854627794333&type=3,facebook.com,2020-01-31,"['doctors', 'recommend', 'vitamin', 'fennel', 'seed', 'tea', 'warn', 'novel', 'coronavirus']"
326,2/3/2020,United States,,,,United States,FactCheck.org,Vitamin C can “stop” the new coronavirus.,Andrew W. Saul,http://archive.is/qSOt2,https://www.factcheck.org/2020/02/fake-coronavirus-cures-part-3-vitamin-c-isnt-a-shield/,English,false,There is no evidence that Vitamin C can stop or treat the new coronavirus.,cures,['United States'],archive.is,https://www.facebook.com/themegavitaminman/photos/a.154722701400928/1232972536909267/?type=3&theater,facebook.com,2020-02-03,"['vitamin', 'stop', 'new', 'coronavirus']"
425,2/6/2020,United States,,,,United States,LeadStories,Vitamin C stops or slows novel coronavirus.,"Health Impact News, Orthomolecular Medicine News Service",https://healthimpactnews.com/2020/vitamin-c-protects-against-coronavirus/,https://hoax-alert.leadstories.com/3471615-Fake-News-Vitamin-C-Does-NOT-Slow-Or-Stop-Coronavirus.html,English,false,There no known cure for coronavirus and no evidence to suggest Vitamin C can treat or prevent it.,cures,['United States'],healthimpactnews.com,https://healthimpactnews.com/2020/vitamin-c-protects-against-coronavirus/,healthimpactnews.com,2020-02-06,"['vitamin', 'stops', 'slows', 'novel', 'coronavirus']"
457,2/7/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,"Professor Wong Kin-Chung offers tips to delay the progress of COVID-19: Rinse mouth with cold salty water; drink water and red wine; take Vitamin C; eat chicken soup, shiitake mushrooms, astragalus, codonopsis and ginseng. ","Facebook, Weibo",https://www.facebook.com/yaro.tatamo/posts/1514583752034576,https://tfc-taiwan.org.tw/articles/3462,Chinese (traditional),false,"There is no evidence that those items can prevent COVID-19. Wong Kin-Chung cannot be confirmed as a medical professor, doctor or nutritionist.",cures,['Taiwan'],facebook.com,https://www.facebook.com/yaro.tatamo/posts/1514583752034576,facebook.com,2020-02-07,"['professor', 'wong', 'kin', 'chung', 'offers', 'tips', 'delay', 'progress', 'covid', 'rinse', 'mouth', 'cold', 'salty', 'water', 'drink', 'water', 'red', 'wine', 'vitamin', 'eat', 'chicken', 'soup', 'shiitake', 'mushrooms', 'astragalus', 'codonopsis', 'ginseng']"
529,2/12/2020,United States,,,,United States,Science Feedback,"The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.","Andrew W. Saul, Orthomolecular Medicine News Service",http://archive.md/VWW3G,https://healthfeedback.org/claimreview/vitamin-c-supplementation-does-not-prevent-viral-respiratory-infections-such-as-those-caused-by-coronaviruses-in-the-general-population/,English,no evidence,"Maintaining an adequate intake of vitamin C is important for staying healthy. However, evidence from clinical trials shows that regular vitamin C supplementation does not prevent viral respiratory tract infections such as the common cold, which can be caused by coronaviruses, in the general population. Although some studies have shown a reduced incidence of the common cold in individuals undergoing severe physical stress, such as marathon runners.",cures,['United States'],archive.md,https://healthimpactnews.com/2020/vitamin-c-protects-against-coronavirus/,healthimpactnews.com,2020-02-12,"['coronavirus', 'pandemic', 'dramatically', 'slowed', 'stopped', 'immediate', 'widespread', 'use', 'high', 'doses', 'vitamin']"
533,2/12/2020,Spain,,,,Spain,Maldita.es,Vitamin C and Omega prevent the new coronavirus.,WhatsApp,Unavaliable,https://maldita.es/malditobulo/vitamina-c-omega-coronavirus/,Spanish,false,They cannot prevent coronavirus infection.,cures,['Spain'],N/A,Unavaliable,N/A,2020-02-12,"['vitamin', 'omega', 'prevent', 'new', 'coronavirus']"
919,3/3/2020,South Korea,,,,South Korea,JTBC news,Vitamin C can cure COVID-19.,Many social media platforms,Unavaliable,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11938063,Korean,misleading,The claim is not based on medical evidence.,cures,['South Korea'],N/A,Unavaliable,N/A,2020-03-03,"['vitamin', 'cure', 'covid']"
